id	name	class	type	quality	cost	atk	hp	countdown	token	tag	effect	note	decks	img
D001	虚卒·掠夺者	毁灭	随从	铜	1	1	2		0	虚卒	onPlay: dmg(bothLeader,1)	【入场曲】：给予双方的主战者各1点伤害	地狱变/反击回响/血仇变身	img/D001.png
D002	毁灭扑满	毁灭	随从	铜	1	1	1		0		onAttack: dmg(selfLeader,1), draw(1)	攻击时：给予自己的主战者1点伤害，抽1张卡	地狱变/血仇变身	img/D002.png
D003	黑潮蚀斧	毁灭	随从	铜	1	2	1		0	黑潮	static: noCounter; onDeath: dmg(enemyLeader,1)	此随从无法进行防御。【谢幕曲】：给予敌方的主战者1点伤害	地狱变	img/D003.png
D004	反重子	毁灭	随从	铜	1	1	1		0		onDeath: maxHpDown(2), draw(1)	【谢幕曲】：使自己的主战者生命上限-2，并抽1张卡	血仇变身/地狱变	img/D004.png
D005	无想面具	毁灭	随从	铜	1	0	3		0		static: ward; onDamaged: dmg(dmgSource,1)	【守护】。此随从受到伤害后，给予攻击者1点伤害	反击回响	img/D005.png
D006	俱殁	毁灭	护符	铜	1			5	0		onLeaderDamaged: dmg(enemyLeader,1)	【倒数5】。每当自己的主战者受到伤害，给予敌方的主战者1点伤害	地狱变/血仇变身	img/D006.png
D007	天倾	毁灭	法术	铜	1				0		spell[!mara]: buff(allyOne,2,0), grant(allyOne,rush); spell[mara]: buff(allyOne,3,0), grant(allyOne,rush)	给予1个自己的随从+2/+0与【突进】。若已入魔，改为+3/+0	反击回响	img/D007.png
D008	重子	毁灭	随从	铜	2	1	4		0		static: ward; onPlay[!mara]: dmg(selfLeader,1)	【守护】。【入场曲】：若入魔未发动，给予自己的主战者1点伤害	地狱变/反击回响/血仇变身	img/D008.png
D009	虚卒·抹消者	毁灭	随从	铜	2	2	2		0	虚卒	onPlay[!mara]: dmg(selfLeader,2); onPlay[mara]: dmg(enemyLeader,2)	【入场曲】：若入魔未发动则自伤2点；已发动则改为给予敌方主战者2点	地狱变/血仇变身	img/D009.png
D010	黑潮蚀刃	毁灭	随从	铜	2	2	2		0	黑潮	onAttack: dmg(selfLeader,1), buff(self,1,0); onEvolve: grant(selfLeader,barrier)	攻击时：自伤1点，此随从+1/+0。进化时：使自己的主战者获得【屏障】	地狱变/反击回响	img/D010.png
D011	炎之爪牙	毁灭	法术	银	2				0		spell: dmg(selfLeader,2), dmg(enemyAny,3)	给予自己的主战者2点伤害，并给予敌方的主战者或1个敌方随从3点伤害	地狱变/反击回响/血仇变身	img/D011.svg
D012	不灭的怨念	毁灭	法术	银	2				0		spell: draw(2), dmg(selfLeader,1)	抽2张卡，给予自己的主战者1点伤害	地狱变/血仇变身	img/D012.svg
D013	浪花侍女	毁灭	随从	铜	2	1	3		0		onDamaged: heal(selfLeader,2)	此随从受到伤害后，回复自己的主战者2点生命值	反击回响	img/D013.png
D014	巽风造物	毁灭	随从	铜	2	3	2		0		onPlay: maxHpDown(3), buff(self,2,0)	【入场曲】：使自己的主战者生命上限-3，此随从+2/+0	血仇变身	img/D014.png
D015	血债血偿	毁灭	法术	银	2				0		spell: setLeaderHp(12), draw(1)	给予自己的主战者伤害使其生命值转变为12。抽1张卡	地狱变/血仇变身	img/D015.svg
D016	阿兰	毁灭	随从	金	3	2	3		0		static: drain; onPlay: dmg(selfLeader,2); onLeaderDamaged: buff(self,1,0)	【虹吸】。【入场曲】：给予自己的主战者2点伤害。每当自己的主战者受到伤害，此随从+1/+0	反击回响/血仇变身	img/D016.png
D017	虎克	毁灭	随从	金	3	3	3		0		onPlay: dmg(selfLeader,2), shock(enemyOne)	【入场曲】：自伤2点，并使1个敌方随从获得【灼烧】（自己的回合结束时受到2点伤害）	地狱变/反击回响	img/D017.png
D018	在火的远处	毁灭	护符	金	3			5	0		onPlay[ppMax>=7]: refundEP(1); onAllyEvolve: heal(selfLeader,8), destroy(self)	【入场曲】：若自己的PP上限≥7，回复1点进化点。自己的随从进化时，回复自己的主战者8点生命值并使此护符消失。【倒数5】	地狱变/反击回响/血仇变身	img/D018.png
D019	黑潮蚀魔	毁灭	随从	银	3	3	3		0	黑潮	onDeath: dmg(enemyAll,2), summon(蚀刻残焰,1)	【谢幕曲】：给予敌方全体随从2点伤害，并召唤1个蚀刻残焰	地狱变	img/D019.png
D020	炽燃徘徊者	毁灭	随从	银	3	4	3		0		onPlay: dmg(selfLeader,3), buff(self,3,0)	【入场曲】：给予自己的主战者3点伤害，此随从+3/+0	血仇变身	img/D020.png
D021	开拓者·毁灭	毁灭	随从	虹	3	3	3		0		onEnemyDeath[ctr(战功)<2]: ctr(战功,+1), buff(self,1,1)	每当1个敌方随从被消灭，此随从永久+1/+1（最多2次）	地狱变/反击回响	img/D021.png
D022	永冬灾影	毁灭	随从	铜	3	2	5		0		static: ward; onDamaged: dmg(selfLeader,1), draw(1)	【守护】。此随从受到伤害后，给予自己的主战者1点伤害并抽1张卡	地狱变/反击回响	img/D022.png
D023	雪衣	毁灭	随从	金	4	3	5		0		static: ward; onLeaderDamaged: heal(self,1)	【守护】。每当自己的主战者受到伤害，回复此随从1点生命值	反击回响	img/D023.png
D024	虚卒·践踏者	毁灭	随从	银	4	4	4		0	虚卒	onPlay: draw(2); onPlay[!mara]: setLeaderHp(10)	【入场曲】：抽2张卡。随后，若入魔未发动，则给予自己的主战者伤害使其生命值转变为10	地狱变/反击回响/血仇变身	img/D024.png
D025	米沙	毁灭	随从	金	4	2	5		0		turnEnd: dmg(enemyAll,1), dmg(selfLeader,1)	自己的回合结束时，给予敌方全体随从1点伤害，并给予自己的主战者1点伤害	地狱变	img/D025.png
D026	云璃	毁灭	随从	虹	4	3	4		0		onDamaged: dmg(dmgSourceOrLeader,selfAtk)	此随从受到伤害后，给予造成该伤害的敌方随从与此随从攻击力等量的伤害（若无则改为给予敌方主战者）	反击回响	img/D026.png
D027	吉尔伽美什	毁灭	随从	虹	4	3	5		0		onEnemySummon: ctr(兴致,+1); onCtr(兴致,3): ctr(兴致,-3), buff(self,3,0), extraAtk(self,1)	每当敌方随从进入战场，获得1层【兴致】。拥有3层时：消耗全部，此随从+3/+0且本回合可再进行1次攻击	血仇变身	img/D027.png
D028	以血偿还	毁灭	法术	金	5				0		costIf(4)[mara]; spell: dmg(enemyOne,4), heal(selfLeader,2)	给予1个敌方随从4点伤害，并回复自己的主战者2点生命值。若已入魔，此牌在手牌中的费用-4	地狱变/反击回响/血仇变身	img/D028.svg
D029	克拉拉	毁灭	随从	虹	5	2	6		0		static: ward; onDamaged: mark(dmgSource); turnStart: dmg(enemyMarked,3)	【守护】。敌方随从攻击此随从后被【标记】；自己的回合开始时，给予全部被【标记】的敌方随从3点伤害	反击回响	img/D029.png
D030	流萤	毁灭	随从	虹	5	4	5		0		static: reduce(self,lostHp/4)	此随从受到的伤害减少「自己主战者已损失生命值÷4（向下取整）」点	地狱变/血仇变身	img/D030.png
D031	兴风者	毁灭	随从	银	5	4	3		0		static: storm; onPlay: dmg(selfLeader,3)	【疾驰】。【入场曲】：给予自己的主战者3点伤害	地狱变	img/D031.png
D032	白厄	毁灭	随从	虹	5	3	6		0		onLeaderDamaged: ctr(火种,+1); onCtr(火种,3): ctr(火种,-3), transform(self,卡厄斯兰那)	每当自己的主战者受到伤害，获得1层【火种】。拥有3层时：消耗全部，变身为卡厄斯兰那（8/8、【必杀】）	血仇变身/反击回响	img/D032.png
D033	Saber	毁灭	随从	虹	6	4	5		0		onPlay: refundEP(1); onEvolve: dmg(enemyRandomAny,1), dmg(enemyRandomAny,1), dmg(enemyRandomAny,1), dmg(enemyRandomAny,1), dmg(enemyRandomAny,1)	【入场曲】：回复自己的进化点1点。进化时：给予敌方随机目标5次1点伤害	反击回响/血仇变身	img/D033.png
D034	刃	毁灭	随从	虹	6	4	5		0		onLeaderDamaged: ctr(充能,+1); onCtr(充能,5): ctr(充能,-5), dmg(enemyAll,4), heal(selfLeader,5)	每当自己的主战者受到伤害，获得1层充能。拥有5层时：消耗全部，给予敌方全体随从4点伤害并回复自己的主战者5点生命值	地狱变/反击回响/血仇变身	img/D034.png
D035	黑潮斗将	毁灭	随从	银	6	5	5		0	黑潮	onPlay: dmg(selfLeader,2), destroy(enemyOne)	【入场曲】：消灭1个敌方随从，并给予自己的主战者2点伤害	地狱变	img/D035.png
D036	至黑之剑，盗火行者	毁灭	随从	金	6	5	5		0		static: atkPlus(self,lostHp/2); onPlay: dmg(selfLeader,3)	【入场曲】：给予自己的主战者3点伤害。此随从的攻击力额外增加自己主战者已损失的生命值÷2（向下取整）	血仇变身	img/D036.png
D037	镜流	毁灭	随从	虹	7	4	5		0		static: bane; onSpell: ctr(朔望,+1); onCtr(朔望,2): ctr(朔望,-2), evolveFree(self), extraAtk(self,1)	【必杀】。每当自己使用法术卡，获得1层【朔望】。拥有2层时：消耗全部，此随从进化（不消费EP）且本回合可再进行1次攻击	地狱变/反击回响	img/D037.png
