id	name	class	type	quality	cost	atk	hp	countdown	token	tag	effect	note	decks	img
L001	惊梦剧团的气泡锂犬	欢愉	随从	铜	1	2	1		0	惊梦剧团	onPlay: pctr(笑点,+2)	【入场曲】：使自己的「笑点」+2	笑点狂欢/大吉大利/剧团登场	img/L001.webp
L002	惊梦剧团的幸运贩售	欢愉	随从	铜	1	1	2		0	惊梦剧团	onPlay: pctr(笑点,+2)	【入场曲】：使自己的「笑点」+2	笑点狂欢/剧团登场	img/L002.webp
L003	助手涂鸦•催稿	欢愉	随从	铜	1	1	1		0		onDeath: summon(涂鸦,1)	【谢幕曲】：召唤1个涂鸦	剧团登场/笑点狂欢	img/L003.webp
L004	助手涂鸦·拖稿	欢愉	随从	铜	1	2	1		0		onDeath: summon(涂鸦,1)	【谢幕曲】：召唤1个涂鸦	剧团登场	img/L004.webp
L005	惊梦剧团的弹簧荷官	欢愉	随从	铜	1	2	2		0	惊梦剧团	onAttack[ctr(笑点)>=3]: dmg(enemyLeader,2)	攻击时：若自己的「笑点」为3以上，给予敌方的主战者2点伤害	大吉大利/笑点狂欢/剧团登场	img/L005.webp
L006	嗤笑	欢愉	法术	铜	1				0		spell: dmg(enemyOne,1), draw(1), pctr(笑点,+1)	给予1个敌方随从1点伤害。抽1张卡。使自己的「笑点」+1	笑点狂欢/大吉大利	img/L006.webp
L007	残泪	欢愉	法术	铜	1				0		spell: summon(涂鸦,2), pctr(笑点,+1)	召唤2个涂鸦。使自己的「笑点」+1	剧团登场	img/L007.webp
L008	欢迎来到银河城	欢愉	法术	铜	1				0		spell: pctr(笑点,+6)	使自己的「笑点」+6	笑点狂欢	img/L008.webp
L009	惊梦剧团的圆幕先生	欢愉	随从	铜	2	2	3		0	惊梦剧团	static: ward; onPlay: pctr(笑点,+2)	【守护】。【入场曲】：使自己的「笑点」+2	笑点狂欢/剧团登场	img/L009.webp
L010	治安忠犬	欢愉	随从	铜	2	2	3		0		static: ward; onPlay: pctr(笑点,+2)	【守护】。【入场曲】：使自己的「笑点」+2	剧团登场/笑点狂欢	img/L010.webp
L011	惊梦剧团的发条暴徒	欢愉	随从	铜	2	2	3		0	惊梦剧团	turnStart[ctr(笑点)>=6]: maxAtk(self,2)	自己的回合开始时，若「笑点」为6以上，此随从每回合可进行2次攻击	大吉大利	img/L011.webp
L012	泡影稚子	欢愉	随从	铜	2	2	2		0		onDeath: summon(涂鸦,2)	【谢幕曲】：召唤2个涂鸦	笑点狂欢/剧团登场	img/L012.webp
L013	今日好手气	欢愉	法术	银	2				0		spell: draw(2), pctr(笑点,+2)	抽2张卡。使自己的「笑点」+2	笑点狂欢/大吉大利	img/L013.webp
L014	助手涂鸦•赶稿	欢愉	随从	铜	2	3	3		0		static: noCounter	此随从无法进行防御	剧团登场/笑点狂欢	img/L014.webp
L015	喜剧学家	欢愉	随从	铜	2	2	3		0		onSpell: pctr(笑点,+2)	每当自己使用法术卡，使自己的「笑点」+2	笑点狂欢/大吉大利	img/L015.webp
L016	未来，有我们一起	欢愉	护符	银	2			4	0		turnEnd: dmg(enemyRandomAny,1), dmg(enemyRandomAny,1), dmg(enemyRandomAny,1)	【倒数3】。自己的回合结束时，给予敌方随机3个目标各1点伤害	大吉大利	img/L016.webp
L017	开拓者·欢愉	欢愉	随从	虹	3	3	4		0		onAttack: pctr(笑点,+3)	攻击时：使自己的「笑点」+3	笑点狂欢/大吉大利	img/L017.webp
L018	惊梦剧团的舞鸫假面	欢愉	随从	银	3	2	4		0	惊梦剧团	static: atkPlus(self,ctr(笑点)/3)	此随从的攻击力额外增加自己「笑点」÷3（向下取整）	笑点狂欢/大吉大利	img/L018.webp
L019	画板孔雀	欢愉	随从	银	3	2	4		0		turnEnd: summon(涂鸦,1)	自己的回合结束时，召唤1个涂鸦	剧团登场	img/L019.webp
L020	当她决定看见	欢愉	法术	银	2				0		spell: costDown(1), pctr(笑点,+2)	本回合中，自己使用的卡片费用-1。使自己的「笑点」+2	笑点狂欢	img/L020.webp
L021	摇滚狂徒	欢愉	随从	银	3	3	4		0		static: rush; onAttack: dmg(enemyRandomAny,1)	【突进】。攻击时：给予敌方随机1个目标1点伤害	大吉大利	img/L021.webp
L022	惊梦剧团的十七分熟	欢愉	随从	银	3	3	4		0	惊梦剧团	onAttack: pctr(笑点,+3)	攻击时：使自己的「笑点」+3	大吉大利/笑点狂欢	img/L022.webp
L023	「身陷樊笼的往昔」	欢愉	随从	银	3	3	5		0		turnStart: pctr(笑点,+3)	自己的回合开始时，使自己的「笑点」+3	笑点狂欢	img/L023.webp
L024	邂逅于下一个花季	欢愉	法术	银	3				0		spell: summon(涂鸦,2), buff(allyTag(涂鸦),1,1)	召唤2个涂鸦，并使自己全体涂鸦+1/+1	剧团登场/大吉大利	img/L024.webp
