# 崩坏职业：随从仅来自官方百科“女武神”；法术仅来自“圣痕”；护符仅来自“人偶/协同者”。
# img 使用官方百科图片的本地副本；sourceUrl 保存逐张核验的官方详情页。
id	name	class	type	quality	cost	atk	hp	countdown	token	tag	effect	note	decks	img	characterId	formTier	replaceCost	crossTierCost	sourceType	sourceUrl
K001	白骑士·月光	崩坏	随从	铜	1	1	2		0	琪亚娜	onPlay: draw(1)	女武神：琪亚娜形态链1阶；入场曲：抽1张牌。	装甲轮转	img/honkai/K001.png	Kiana	1			女武神	https://baike.mihoyo.com/bh3/wiki/content/20/detail?bbs_presentation_style=no_header
K002	空之律者	崩坏	随从	银	3	3	3		0	琪亚娜	onReplace: dmg(enemyOne,2)	女武神：琪亚娜形态链2阶；替换时：对1个敌方随从造成2点伤害。	装甲轮转	img/honkai/K002.png	Kiana	2	1		女武神	https://baike.mihoyo.com/bh3/wiki/content/68/detail?bbs_presentation_style=no_header
K003	终焉之律者	崩坏	随从	金	6	6	6		0	琪亚娜	onReplace: dmg(enemyLeader,2); onRetreat: grant(self,barrier)	女武神：琪亚娜形态链3阶；替换时：对敌方主战者造成2点伤害；退阶时：获得屏障。	装甲轮转	img/honkai/K003.png	Kiana	3	2	4	女武神	https://baike.mihoyo.com/bh3/wiki/content/2086/detail?bbs_presentation_style=no_header
K004	脉冲装·绯红	崩坏	随从	铜	1	2	1		0	芽衣	onPlay: dmg(enemyLeader,1)	女武神：芽衣形态链1阶；入场曲：对敌方主战者造成1点伤害。	律者跃迁	img/honkai/K004.png	Mei	1			女武神	https://baike.mihoyo.com/bh3/wiki/content/71/detail?bbs_presentation_style=no_header
K005	雷电女王的鬼铠	崩坏	随从	银	4	4	3		0	芽衣	onReplace: dmg(enemyOne,2)	女武神：芽衣形态链2阶；替换时：对1个敌方随从造成2点伤害。	律者跃迁	img/honkai/K005.png	Mei	2	1		女武神	https://baike.mihoyo.com/bh3/wiki/content/66/detail?bbs_presentation_style=no_header
K006	雷之律者	崩坏	随从	金	7	7	5		0	芽衣	onReplace: dmg(enemyLeader,2); onRetreat: heal(selfLeader,2)	女武神：芽衣形态链3阶；替换时：对敌方主战者造成2点伤害；退阶时：回复主战者2点生命。	律者跃迁	img/honkai/K006.png	Mei	3	2	4	女武神	https://baike.mihoyo.com/bh3/wiki/content/70/detail?bbs_presentation_style=no_header
K007	驱动装·山吹	崩坏	随从	铜	1	3	3		0	布洛妮娅	static: ward	女武神：布洛妮娅形态链1阶；守护。	装甲轮转	img/honkai/K007.png	Bronya	1			女武神	https://baike.mihoyo.com/bh3/wiki/content/22/detail?bbs_presentation_style=no_header
K008	次元边界突破	崩坏	随从	银	3	4	5		0	布洛妮娅	onReplace: grant(self,barrier)	女武神：布洛妮娅形态链2阶；替换时：获得屏障。	装甲轮转	img/honkai/K008.png	Bronya	2	1		女武神	https://baike.mihoyo.com/bh3/wiki/content/16/detail?bbs_presentation_style=no_header
K009	理之律者	崩坏	随从	金	6	7	6		0	布洛妮娅	onReplace: heal(selfLeader,2); onRetreat: draw(1)	女武神：布洛妮娅形态链3阶；替换时：回复2点；退阶时：抽1张牌。	装甲轮转	img/honkai/K009.png	Bronya	3	2	4	女武神	https://baike.mihoyo.com/bh3/wiki/content/17/detail?bbs_presentation_style=no_header
K010	女武神·誓约	崩坏	随从	铜	1	2	2		0	德丽莎	onPlay: grant(self,barrier)	女武神：德丽莎形态链1阶；入场曲：获得屏障。	休伯利安支援	img/honkai/K010.png	Theresa	1			女武神	https://baike.mihoyo.com/bh3/wiki/content/40/detail?bbs_presentation_style=no_header
K011	樱火轮舞	崩坏	随从	银	3	4	3		0	德丽莎	onReplace: heal(selfLeader,2)	女武神：德丽莎形态链2阶；替换时：回复2点生命。	休伯利安支援	img/honkai/K011.png	Theresa	2	1		女武神	https://baike.mihoyo.com/bh3/wiki/content/24/detail?bbs_presentation_style=no_header
K012	月下初拥	崩坏	随从	金	6	6	7		0	德丽莎	onReplace: destroy(enemyOne); onRetreat: grant(self,barrier)	女武神：德丽莎形态链3阶；替换时：消灭1个敌方随从；退阶时：获得屏障。	休伯利安支援	img/honkai/K012.png	Theresa	3	2	4	女武神	https://baike.mihoyo.com/bh3/wiki/content/25/detail?bbs_presentation_style=no_header
K013	战场疾风	崩坏	随从	铜	2	1	2		0	姬子	onPlay: dmg(enemyLeader,1)	女武神：姬子形态链1阶；入场曲：对敌方主战者造成1点伤害。	律者跃迁	img/honkai/K013.png	Himeko	1			女武神	https://baike.mihoyo.com/bh3/wiki/content/15/detail?bbs_presentation_style=no_header
K014	真红骑士·月蚀	崩坏	随从	银	4	4	4		0	姬子	onReplace: dmg(enemyAll,1)	女武神：姬子形态链2阶；替换时：对敌方全体随从造成1点伤害。	律者跃迁	img/honkai/K014.png	Himeko	2	1		女武神	https://baike.mihoyo.com/bh3/wiki/content/14/detail?bbs_presentation_style=no_header
K015	极地战刃	崩坏	随从	金	7	7	6		0	姬子	onReplace: dmg(enemyLeader,3); onRetreat: buff(self,1,1)	女武神：姬子形态链3阶；替换时：对敌方主战者造成3点伤害；退阶时：自身获得+1/+1。	律者跃迁	img/honkai/K015.png	Himeko	3	2	4	女武神	https://baike.mihoyo.com/bh3/wiki/content/39/detail?bbs_presentation_style=no_header
