id	name	class	type	quality	cost	atk	hp	countdown	token	tag	effect	note	decks	img
H001	玄爪狼卒	巡猎	随从	铜	1	2	2		0	狼卒	static: noCounter	此随从无法进行防御	饲饵猎杀/连锁追击/绝命对峙	img/H001.webp
H002	银鬃射手	巡猎	随从	铜	1	1	2		0	银鬃	onPlay: buffHand(1,0)	【入场曲】：使1张手牌中的随从卡获得+1/+0	连锁追击/绝命对峙	img/H002.webp
H003	蚀月狼卒	巡猎	随从	铜	1	1	2		0	狼卒	onDeath: dmg(enemyMarked,2)	【谢幕曲】：给予被【标记】的敌方随从2点伤害	连锁追击/绝命对峙	img/H003.webp
H004	相抗	巡猎	法术	铜	1				0		spell: mark(enemyOne), draw(1)	【标记】1个敌方随从。抽1张卡	饲饵猎杀/绝命对峙	img/H004.webp
H005	虚卒·篡改者	巡猎	随从	铜	1	1	2		0	虚卒	onPlay: mark(enemyOne)	【入场曲】：【标记】1个敌方随从	饲饵猎杀	img/H005.webp
H006	魔阴身士卒	巡猎	随从	铜	2	2	3		0	魔阴身	static: rush	【突进】	饲饵猎杀/连锁追击	img/H006.webp
H007	幽府武弁	巡猎	随从	铜	2	1	3		0		static: ward; onPlay: ppMaxUp(1)	【守护】。【入场曲】：自己的PP上限+1（跳费）	饲饵猎杀/绝命对峙	img/H007.webp
H008	银鬃炮手	巡猎	随从	铜	2	2	3		0	银鬃	onAttack: dmg(enemyLeader,2)	攻击时：给予敌方的主战者2点伤害	连锁追击	img/H008.webp
H009	丹恒	巡猎	随从	金	2	2	3		0		static: rush; onAttack[marked]: buff(self,2,0)	【突进】。攻击时：若目标被【标记】，此随从+2/+0	饲饵猎杀/连锁追击/绝命对峙	img/H009.webp
H010	素裳	巡猎	随从	金	2	2	3		0		onEnemyDeath[markedCount>=1]: buff(self,1,1); onEvolve: buff(self,1,1)	每当1个被【标记】的敌方随从被消灭，此随从+1/+1。进化时：此随从+1/+1	连锁追击/绝命对峙	img/H010.webp
H011	魔阴武弁	巡猎	随从	铜	2	1	4		0	魔阴身	static: ward; turnStart: mark(enemyOne)	【守护】。自己的回合开始时，【标记】1个敌方随从	饲饵猎杀	img/H011.webp
H012	云骑巡防士卒	巡猎	随从	铜	2	1	4		0	云骑	static: ward; onPlay: mark(enemyOne)	【守护】。【入场曲】：【标记】1个敌方随从	饲饵猎杀/绝命对峙	img/H012.webp
H013	黑潮朽弓	巡猎	随从	铜	2	2	3		0	黑潮	onAttack: mark(enemyOne)	攻击时：【标记】该敌方随从	连锁追击	img/H013.webp
H014	离弦	巡猎	法术	铜	2				0		spell: mark(enemyOne), mark(enemyRandom), dmg(enemyLeader,2), draw(1)	使1个敌方随从与随机1个敌方随从获得【标记】，给予敌方的主战者2点伤害，抽1张卡	连锁追击	img/H014.webp
H015	貊泽	巡猎	随从	金	3	3	2		0		onPlay: mark(enemyOne), bounce(self)	【入场曲】：【标记】1个敌方随从，然后此随从离场并加入手牌	饲饵猎杀	img/H015.webp
H016	彦卿	巡猎	随从	虹	3	3	3		0		onAttack[marked]: extraAtk(self,1)	攻击时：若目标被【标记】，此随从可再进行1次攻击	连锁追击/绝命对峙	img/H016.webp
H017	锋镝	巡猎	法术	铜	3				0		spell[markedCount>=1]: dmg(enemyMarked,5); spell[markedCount<1]: dmg(enemyOne,2)	给予被【标记】的敌方随从5点伤害。若敌方场上无被【标记】的随从，改为给予1个敌方随从2点伤害	饲饵猎杀/连锁追击	img/H017.webp
H018	银鬃近卫	巡猎	随从	铜	3	3	3		0	银鬃	static: storm, leaderOnly	【疾驰】。此随从只能攻击敌方的主战者	绝命对峙	img/H018.webp
H019	真理医生	巡猎	随从	虹	3	2	3		0		turnEnd: dmg(enemyMarked,2); onEnemyDeath[ctr(诊疗)<1]: ctr(诊疗,+1), draw(1); turnStart: ctr(诊疗,-1)	自己的回合结束时，给予被【标记】的敌方随从2点伤害；若有随从被消灭，抽1张卡（每回合限1次）	饲饵猎杀/连锁追击	img/H019.webp
H020	自动机兵·棕熊	巡猎	随从	银	3	2	4		0	自动机兵	static: ward; onPlay: mark(enemyAll)	【守护】。【入场曲】：【标记】敌方全体随从	绝命对峙/饲饵猎杀	img/H020.webp
H021	银鬃射手·精锐	巡猎	随从	铜	3	3	3		0	银鬃	onAttack: dmg(enemyLeader,1)	攻击时：给予敌方的主战者1点伤害	连锁追击/绝命对峙	img/H021.webp
H022	黑潮参议	巡猎	随从	铜	3	2	3		0	黑潮	static: rush; onDeath: mark(enemyOne)	【突进】。【谢幕曲】：【标记】1个敌方随从	饲饵猎杀/连锁追击	img/H022.webp
H023	仙舟三月七	巡猎	随从	金	4	3	5		0		onPlay: ppMaxUp(1); turnStart: extraAtk(allyOther,1)	【入场曲】：自己的PP上限+1（跳费）。自己的回合开始时，使1个其他自己的随从本回合可再进行1次攻击	连锁追击	img/H023.webp
H024	银鬃尉官	巡猎	随从	银	4	4	3		0	银鬃	static: rush; onPlay: mark(enemyOne), draw(1)	【突进】。【入场曲】：【标记】1个敌方随从并抽1张卡	饲饵猎杀/连锁追击	img/H024.webp
