id	name	class	type	quality	cost	atk	hp	countdown	token	tag	effect	note	decks	img
N001	虚数织叶者	虚无	随从	铜	1	1	2		0		onDeath: summon(残念,1); onAllyDeath: buff(self,1,0)	谢幕曲召唤残念；每当己方随从离场，此随从+1/+0。	持续侵蚀	img/N001.webp
N002	匿影	虚无	法术	铜	1				0		spell: destroyAlly(allyOne), summon(残念,2), dmg(enemyLeader,2)	破坏1个己方随从，召唤2个残念并打脸2点。	引爆奥迹	img/N002.webp
N003	渊环	虚无	法术	铜	1				0		spell: discard(1), draw(2)	丢弃1张手牌并抽2张，快速累积墓场。	缺陷植入	img/N003.webp
N004	卢卡	虚无	随从	金	1	2	2		0		onDeath: summon(残念,1); onAllyDeath: buff(self,1,0)	谢幕曲召唤残念；每当己方随从离场，此随从+1/+0。	持续侵蚀	img/N004.webp
N005	幽邃	虚无	护符	铜	1			3	0		onAllyDeath: dmg(enemyLeader,1)	每当己方随从离场，给予敌方主战者1点伤害。	引爆奥迹	img/N005.webp
N006	千冶•刃之炽	虚无	随从	铜	1	2	1		0		onDeath: draw(1)	谢幕曲：抽1张，增加墓场。	缺陷植入	img/N006.webp
N007	佩拉	虚无	随从	金	2	2	2		0		onDeath: summon(残念,1); onAllyDeath: buff(self,1,0)	谢幕曲召唤残念；每当己方随从离场，此随从+1/+0。	持续侵蚀	img/N007.webp
N008	桑博	虚无	随从	金	2	1	2		0		onPlay: destroyAlly(allyOne), buff(self,2,2)	入场破坏1个其他己方随从，此随从+2/+2。	引爆奥迹	img/N008.webp
N009	决心如汗珠般闪耀	虚无	法术	银	2				0		spell: discard(1), draw(2)	丢弃1张手牌并抽2张，快速累积墓场。	缺陷植入	img/N009.webp
N010	桂乃芬	虚无	随从	金	2	2	2		0		onDeath: summon(残念,1); onAllyDeath: buff(self,1,0)	谢幕曲召唤残念；每当己方随从离场，此随从+1/+0。	持续侵蚀	img/N010.webp
N011	遮天蔽日的噬星蠹	虚无	随从	铜	2	2	2		0	虫群	onPlay: destroyAlly(allyOne), buff(self,2,2)	入场破坏1个其他己方随从，此随从+2/+2。	引爆奥迹	img/N011.webp
N012	无望冽风的幻灭者	虚无	随从	铜	2	1	2		0		onDeath: draw(1)	谢幕曲：抽1张，增加墓场。	缺陷植入	img/N012.webp
N013	深寒徘徊者	虚无	随从	铜	2	2	3		0		onDeath: summon(残念,1); onAllyDeath: buff(self,1,0)	谢幕曲召唤残念；每当己方随从离场，此随从+1/+0。	持续侵蚀	img/N013.webp
N014	猎物的视线	虚无	法术	银	2				0		spell: destroyAlly(allyOne), summon(残念,2), dmg(enemyLeader,2)	破坏1个己方随从，召唤2个残念并打脸2点。	引爆奥迹	img/N014.webp
N015	晚安与睡颜	虚无	护符	银	2			5	0		turnEnd: discard(1), draw(1)	回合结束丢弃1张并抽1张。	缺陷植入	img/N015.webp
N016	瓦尔特	虚无	随从	金	3	2	3		0		onDeath: summon(残念,1); onAllyDeath: buff(self,1,0)	谢幕曲召唤残念；每当己方随从离场，此随从+1/+0。	持续侵蚀	img/N016.webp
N017	银狼	虚无	随从	虹	3	2	4		0		onPlay: destroyAlly(allyOne), buff(self,2,2)	入场破坏1个其他己方随从，此随从+2/+2。	引爆奥迹	img/N017.webp
N018	假日浴场大冒险	虚无	护符	金	3				0		turnEnd: discard(1), draw(1)	回合结束丢弃1张并抽1张。	缺陷植入	img/N018.webp
N019	新手任务开始前	虚无	法术	银	4				0		spell: summon(残念,2)	召唤2个残念。	持续侵蚀	img/N019.webp
N020	赛飞儿	虚无	随从	金	3	3	2		0		onPlay: destroyAlly(allyOne), buff(self,2,2)	入场破坏1个其他己方随从，此随从+2/+2。	引爆奥迹	img/N020.webp
N021	勿忘她的火焰	虚无	护符	银	3			3	0		turnEnd: discard(1), draw(1)	回合结束丢弃1张并抽1张。	缺陷植入	img/N021.webp
N022	火焚灾影	虚无	随从	铜	3	4	3		0		onDeath: summon(残念,1); onAllyDeath: buff(self,1,0)	谢幕曲召唤残念；每当己方随从离场，此随从+1/+0。	持续侵蚀	img/N022.webp
N023	桑博·毒镖	虚无	随从	金	3	2	2		0		onPlay: destroyAlly(allyOne), buff(self,2,2)	入场破坏1个其他己方随从，此随从+2/+2。	引爆奥迹	img/N023.webp
N024	椒丘	虚无	随从	虹	4	3	4		0		onPlay: necromancy(4); onPlay[ctr(死灵术)>=1]: buff(self,3,3), grant(self,storm)	死灵术4：自身+3/+3并获得疾驰。	缺陷植入	img/N024.webp
N025	千冶•刃	虚无	随从	虹	4	4	3		0		onPlay: summon(残念,2); onAllyDeath: buff(self,1,1)	入场召唤2个残念；每当己方随从离场，此随从+1/+1。	持续侵蚀	img/N025.webp
N027	大丽花	虚无	随从	虹	4	4	4		0		onPlay: destroyAlly(allyOne), dmg(enemyAll,3), summon(残念,2)	入场破坏1个己方随从，敌方全体3点并召唤2个残念。	引爆奥迹	img/N027.webp
N028	无边曼舞	虚无	护符	金	4				0		turnEnd: discard(1), draw(1)	回合结束丢弃1张并抽1张。	缺陷植入	img/N028.webp
N029	黑天鹅	虚无	随从	虹	5	3	5		0		onPlay: summon(残念,2); onAllyDeath: buff(self,1,1)	入场召唤2个残念；每当己方随从离场，此随从+1/+1。	持续侵蚀	img/N029.webp
N030	好戏开演	虚无	法术	金	3				0		spell: destroyAlly(allyOne), summon(残念,2), dmg(enemyLeader,2)	破坏1个己方随从，召唤2个残念并打脸2点。	引爆奥迹	img/N030.webp
N031	海瑟音	虚无	随从	虹	5	4	3		0		onPlay: necromancy(4); onPlay[ctr(死灵术)>=1]: buff(self,3,3), grant(self,storm)	死灵术4：自身+3/+3并获得疾驰。	缺陷植入	img/N031.webp
