id	name	class	type	quality	cost	atk	hp	countdown	token	tag	effect	note	decks	img
P001	丰饶扑满	存护丰饶	随从	铜	1	1	2		0		static: ward; onPlay: grant(self,barrier), heal(selfLeader,1)	守护、屏障。入场回复1点。	护盾壁垒	img/P001.webp
P003	开疆	存护丰饶	法术	铜	1				0		spell: countdownDown(allyCountdown,2), draw(2)	使己方倒数护符倒数-2并抽2张。	不死回响	img/P003.webp
P004	蕃息	存护丰饶	法术	铜	1				0		spell: summon(虫群孵化舱,1), countdownDown(allyCountdown,2)	召唤虫群孵化舱并使倒数-2。	孽物增殖	img/P004.webp
P005	幼蛰虫	存护丰饶	随从	铜	1	1	1		0	蛰虫	static: ward; onPlay: grant(self,barrier)	守护。入场获得屏障。	护盾壁垒	img/P005.webp
P006	蚀蛰虫	存护丰饶	随从	铜	1	1	1		0	蛰虫	onPlay: summon(存护信标,1), countdownDown(allyCountdown,1)	入场召唤倒数护符，并使己方倒数护符倒数-1。	不死回响	img/P006.webp
P007	时节不居	存护丰饶	法术	铜	1				0		spell: countdownDown(allyCountdown,2), heal(selfLeader,2)	使己方倒数护符倒数-2，并回复主战者2点。	孽物增殖	img/P007.webp
P008	「药王秘传」器元士	存护丰饶	随从	铜	2	1	2		0	药王秘传	static: ward; onPlay: grant(self,barrier), heal(selfLeader,2)	守护、屏障。入场回复2点。	护盾壁垒	img/P008.webp
P009	「药王秘传」内丹士	存护丰饶	随从	铜	2	1	2		0	药王秘传	onPlay: summon(存护信标,1), countdownDown(allyCountdown,1)	入场召唤倒数护符，并使己方倒数护符倒数-1。	不死回响	img/P009.webp
P010	三月七	存护丰饶	随从	金	2	1	3		0		onPlay: grant(allyOne,barrier), heal(selfLeader,1)	给予己方随从屏障并回复1点。	孽物增殖	img/P010.webp
P011	丰饶灵兽·奎木	存护丰饶	随从	铜	2	3	2		0	丰饶灵兽	static: ward; onPlay: grant(self,barrier)	守护。入场获得屏障。	护盾壁垒	img/P011.webp
P012	愿旅途永远坦然	存护丰饶	护符	银	1			4	0		onDeath: summon(存护扑满,2), draw(1)	倒数结束时召唤2个存护扑满并抽1。	不死回响	img/P012.webp
P013	一场术后对话	存护丰饶	法术	银	1				0		spell: drawKind(护符,1), countdownDown(allyCountdown,2)	抽1张护符并使倒数-2。	孽物增殖	img/P013.webp
P014	命运从未公平	存护丰饶	法术	银	2				0		spell: grant(allyOne,barrier), heal(selfLeader,2)	给予己方随从屏障并回复2点。	护盾壁垒	img/P014.webp
P015	入魔机巧·浓云金蟾	存护丰饶	随从	铜	2	1	1		0		onPlay: summon(存护信标,1), countdownDown(allyCountdown,2)	入场召唤存护信标并使倒数-2。	不死回响	img/P015.webp
P016	玲可	存护丰饶	随从	金	3	3	3		0		onPlay: summon(虫群孵化舱,2)	入场召唤2个虫群孵化舱。	孽物增殖	img/P016.webp
P017	丰饶灵兽·娄金	存护丰饶	随从	铜	3	1	1		0	丰饶灵兽	static: ward; onPlay: grant(self,barrier), heal(selfLeader,2)	守护、屏障。入场回复2点。	护盾壁垒	img/P017.webp
P018	砂金	存护丰饶	随从	虹	3	1	3		0		onPlay: summon(存护信标,2), countdownDown(allyCountdown,1)	入场召唤2个存护信标并使倒数-1。	不死回响	img/P018.webp
P019	娜塔莎	存护丰饶	随从	金	3	2	4		0		onPlay: summon(虫群孵化舱,1), heal(selfLeader,1)	入场召唤虫群孵化舱并回复1点。	孽物增殖	img/P019.webp
P020	承露天人	存护丰饶	随从	银	3	1	1		0		static: ward; onPlay: heal(selfLeader,2)	守护。入场回复主战者2点。	护盾壁垒	img/P020.webp
P022	她已闭上双眼	存护丰饶	法术	金	3				0		spell: countdownDown(allyCountdown,2), draw(1)	使己方全部倒数护符倒数-2并抽1。	不死回响	img/P022.webp
P023	加拉赫	存护丰饶	随从	金	3	2	3		0		onPlay: summon(虫群孵化舱,1), countdownDown(allyCountdown,1)	入场召唤虫群孵化舱并使倒数-1。	孽物增殖	img/P023.webp
P024	直到明天的明天	存护丰饶	护符	金	5			3	0		onDeath: summon(存护扑满,1), heal(selfLeader,2)	谢幕曲：召唤存护扑满并回复2血。	护盾壁垒	img/P024.webp
P025	「药王秘传」炼形者	存护丰饶	随从	银	4	4	4		0	药王秘传	onPlay: countdownDown(allyCountdown,3), heal(selfLeader,4)	入场倒数-3并回复4点。	不死回响	img/P025.webp
P026	藿藿	存护丰饶	随从	虹	4	2	3		0		static: storm; onPlay: countdownDown(allyCountdown,2)	疾驰。入场使倒数-2。	孽物增殖	img/P026.webp
P027	开拓者·存护	存护丰饶	随从	虹	4	2	4		0		static: ward, barrier; onDamaged: heal(selfLeader,2)	守护、屏障。受到伤害后回复2点。	护盾壁垒	img/P027.webp
P028	银枝	存护丰饶	随从	金	4	3	4		0		onPlay: countdownDown(allyCountdown,2), heal(selfLeader,3)	入场使己方倒数护符倒数-2并回复3血。	不死回响	img/P028.webp
P029	丰饶灵兽·长右	存护丰饶	随从	银	4	3	2		0	丰饶灵兽	static: storm; onPlay: countdownDown(allyCountdown,2)	疾驰。入场使倒数-2。	孽物增殖	img/P029.webp
P030	杰帕德	存护丰饶	随从	虹	5	2	4		0		static: ward, barrier; onDamaged: heal(selfLeader,1)	守护、屏障。受到伤害后回复1点。	护盾壁垒	img/P030.webp
P031	白露	存护丰饶	随从	虹	5	3	4		0		onPlay: countdownDown(allyCountdown,3), heal(selfLeader,4)	入场使倒数-3并回复4点。	不死回响	img/P031.webp
P032	吞神子嗣	存护丰饶	随从	银	5	3	2		0		static: storm; onPlay: countdownDown(allyCountdown,1)	疾驰。入场使己方倒数护符倒数-1。	孽物增殖	img/P032.webp
P033	浮烟	存护丰饶	随从	金	5	3	2		0		static: ward, barrier; onDamaged: heal(selfLeader,1)	守护、屏障。受到伤害后回复主战者1点。	护盾壁垒	img/P033.webp
P034	灵砂	存护丰饶	随从	虹	6	4	6		0		onPlay: countdownDown(allyCountdown,3), heal(selfLeader,4), draw(1)	入场倒数-3、回复4点并抽1。	不死回响	img/P034.webp
P035	符玄	存护丰饶	随从	虹	6	2	4		0		static: storm; onPlay: countdownDown(allyCountdown,1)	疾驰。入场使己方倒数护符倒数-1。	孽物增殖	img/P035.webp
P036	丰饶玄鹿	存护丰饶	随从	金	6	3	2		0	丰饶灵兽	static: ward, barrier; onDamaged: heal(selfLeader,2)	守护、屏障。受到伤害后回复2点。	护盾壁垒	img/P036.webp
P037	罗刹	存护丰饶	随从	虹	6	5	4		0		onPlay: countdownDown(allyCountdown,3), heal(selfLeader,2), draw(1)	入场使己方倒数护符倒数-3，回复2点并抽1张。	不死回响	img/P037.webp
P038	丹恒•腾荒	存护丰饶	随从	虹	7	5	4		0		static: storm; onPlay: countdownDown(allyCountdown,2), dmg(enemyLeader,2)	疾驰。入场倒数-2并打脸2点。	孽物增殖	img/P038.webp
P039	纵然山河万程	存护丰饶	护符	虹	5				0		onDeath: summon(存护扑满,2), heal(selfLeader,3)	谢幕曲召唤2个存护扑满并回复3点。	护盾壁垒	img/P039.webp
P040	虫群·真蛰虫	存护丰饶	随从	虹	7	4	4		0	蛰虫	onPlay: countdownDown(allyCountdown,2), heal(selfLeader,3)	入场使己方倒数护符倒数-2并回复3血。	不死回响	img/P040.webp
P041	不死神实·幻胧	存护丰饶	随从	虹	7	4	4		0		static: storm; onPlay: countdownDown(allyCountdown,1)	疾驰。入场使己方倒数护符倒数-1。	孽物增殖	img/P041.webp
P042	可可利亚	存护丰饶	随从	虹	8	6	7		0		static: ward, barrier; onDamaged: heal(selfLeader,2)	守护、屏障。受到伤害后回复2点。	护盾壁垒	img/P042.webp
T101	幼蛰虫·振翅	存护丰饶	随从	衍生	2	2	1		1	猎鹰	static: storm	【疾驰】。		img/T101.webp
T104	存护扑满	存护丰饶	随从	衍生	2	1	3		1	守护	static: ward, barrier	【守护】、【屏障】。		img/T104.webp
T105	存护信标	存护丰饶	护符	衍生	1			2	1	倒数	onDeath: summon(存护扑满,1)	【倒数2】。谢幕曲：召唤存护扑满。		img/T105.webp
T106	虫群孵化舱	存护丰饶	护符	衍生	1			2	1	倒数	onDeath: summon(幼蛰虫·振翅,1)	【倒数2】。谢幕曲：召唤幼蛰虫·振翅。		img/T106.webp
P043	步离战首·呼雷	存护丰饶	随从	虹	6	4	4		0		onPlay: countdownDown(allyCountdown,2), grant(allyOne,barrier), heal(selfLeader,2)	入场使己方倒数护符倒数-2，给予1个己方随从屏障并回复2点。	不死回响	img/P043.webp
P044	霜晶造物	存护丰饶	随从	铜	2	1	3		0		onPlay: summon(虫群孵化舱,1)	入场召唤虫群孵化舱。	孽物增殖	img/P044.webp
P045	鸣雷造物	存护丰饶	随从	金	3	2	4		0		static: ward; onPlay: grant(self,barrier)	守护。入场获得屏障。	护盾壁垒	img/P045.webp
