id	name	class	type	quality	cost	atk	hp	countdown	token	tag	effect	note	decks	img
M001	金血忆灵 · 犬形	记忆	随从	铜	1	1	3		0	忆质协同	onPlay: shuffleDeck(远古忆质,2), drawToken(1)	入场洗入2张远古忆质，并抽1张忆质。	忆灵编织	img/M001.webp
M002	天谴猎手	记忆	随从	铜	1	2	1		0	复制	onPlay: addHand(忆灵替身,1); onDeath: addHand(忆灵替身,1)	入场与谢幕曲各获得1张忆灵替身。	迷因回响	img/M002.webp
M003	寻爱金镖	记忆	随从	铜	1	1	1		0		onPlay[resonance]: buff(self,2,2), draw(1); onPlay[!resonance]: shuffleDeck(解析忆质,1)	共鸣时+2/+2并抽1；未共鸣时洗入1张忆质。	新蕊献祭	img/M003.webp
M004	忆域迷因「视线无处不在」	记忆	随从	铜	1	1	1		0	忆质协同	onPlay: shuffleDeck(远古忆质,2), drawToken(1)	入场洗入2张远古忆质，并抽1张忆质。	忆灵编织	img/M004.webp
M005	焚影	记忆	法术	铜	1				0		spell: copy(allyOne)	复制1个己方随从到战场。	迷因回响	img/M005.webp
M006	溯忆	记忆	法术	铜	1				0		spell: draw(1); spell[resonance]: draw(1)	抽1；结算后处于共鸣则再抽1。	新蕊献祭	img/M006.webp
M007	致长夜的星光	记忆	法术	铜	2				0		spell: shuffleDeck(解析忆质,2), draw(1)	将2张解析忆质洗入牌库并抽1。	忆灵编织	img/M007.webp
M008	金血忆灵 · 雉形	记忆	随从	铜	2	2	4		0	复制	onPlay: addHand(忆灵替身,1); onDeath: addHand(忆灵替身,1)	入场与谢幕曲各获得1张忆灵替身。	迷因回响	img/M008.webp
M009	天谴斗士	记忆	随从	铜	2	1	3		0	天谴	onPlay[resonance]: buff(self,2,2), draw(1); onPlay[!resonance]: shuffleDeck(解析忆质,1)	共鸣时+2/+2并抽1；未共鸣时洗入1张忆质。	新蕊献祭	img/M009.webp
M010	金血忆灵·犬形	记忆	随从	铜	2	1	5		0	忆质协同	onPlay: shuffleDeck(远古忆质,2), drawToken(1)	入场洗入2张远古忆质，并抽1张忆质。	忆灵编织	img/M010.webp
M011	忆域迷因「何物藏于镜中」	记忆	随从	铜	3	2	2		0	复制	onPlay: addHand(忆灵替身,1); onDeath: addHand(忆灵替身,1)	入场与谢幕曲各获得1张忆灵替身。	迷因回响	img/M011.webp
M012	忆域迷因「虚荣永无餍足」	记忆	随从	铜	2	2	1		0	忆域迷因	onPlay[resonance]: buff(self,2,2), draw(1); onPlay[!resonance]: shuffleDeck(解析忆质,1)	共鸣时+2/+2并抽1；未共鸣时洗入1张忆质。	新蕊献祭	img/M012.webp
