id	officialTitle	sourceType	contentId	entryUrl	officialImageUrl	localImage
K001	白骑士·月光	女武神	20	https://baike.mihoyo.com/bh3/wiki/content/20/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/01/12/73749426/73b59905025cbded2554b0a18344a231_6053553791652816201.png	img/honkai/K001.png
K002	空之律者	女武神	68	https://baike.mihoyo.com/bh3/wiki/content/68/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/01/12/75216984/53fa469089d84f9e519ca928a14e5f6b_7090444913938664845.png	img/honkai/K002.png
K003	终焉之律者	女武神	2086	https://baike.mihoyo.com/bh3/wiki/content/2086/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/01/12/282941837/c0965742114f66fc3232d1026747cd1f_8532156648494420076.png	img/honkai/K003.png
K004	脉冲装·绯红	女武神	71	https://baike.mihoyo.com/bh3/wiki/content/71/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/01/12/77124895/c793b3d83addcd8e5de7d75926c7f398_3249575525533294665.png	img/honkai/K004.png
K005	雷电女王的鬼铠	女武神	66	https://baike.mihoyo.com/bh3/wiki/content/66/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/01/12/75216984/ef1c5738d390a88e69d092ace7ccde59_347710032540615463.png	img/honkai/K005.png
K006	雷之律者	女武神	70	https://baike.mihoyo.com/bh3/wiki/content/70/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/01/12/77124895/4d288d4661926b38dd980dc22b49aed8_3116962931970737678.png	img/honkai/K006.png
K007	驱动装·山吹	女武神	22	https://baike.mihoyo.com/bh3/wiki/content/22/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/01/12/73749426/b1716568569c2d9f5be56b339675d679_3670958750360505432.png	img/honkai/K007.png
K008	次元边界突破	女武神	16	https://baike.mihoyo.com/bh3/wiki/content/16/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/01/12/73749426/f52b51f686d258cee72df544e8165610_333124215621351947.png	img/honkai/K008.png
K009	理之律者	女武神	17	https://baike.mihoyo.com/bh3/wiki/content/17/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/01/12/73749426/71246632bfb0b5d98d45e7d408ecda89_8588635433691377206.png	img/honkai/K009.png
K010	女武神·誓约	女武神	40	https://baike.mihoyo.com/bh3/wiki/content/40/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/01/21/72793975/ae204fcba515548ceccaf92c625b08c1_6799136937075793809.png	img/honkai/K010.png
K011	樱火轮舞	女武神	24	https://baike.mihoyo.com/bh3/wiki/content/24/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/01/21/72793975/47adc942e5723c4b390aae03db9119b2_6083913851214255986.png	img/honkai/K011.png
K012	月下初拥	女武神	25	https://baike.mihoyo.com/bh3/wiki/content/25/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/01/21/72793975/16929b6fc1acd7489309937c65ac9f20_3298164977281828045.png	img/honkai/K012.png
K013	战场疾风	女武神	15	https://baike.mihoyo.com/bh3/wiki/content/15/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/01/12/73749426/5f52039b91a0d180629b8024fe154aa8_4914955499247961937.png	img/honkai/K013.png
K014	真红骑士·月蚀	女武神	14	https://baike.mihoyo.com/bh3/wiki/content/14/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/01/12/73749426/d957153c3358a4e8471b0f0072487485_990549558146240151.png	img/honkai/K014.png
K015	极地战刃	女武神	39	https://baike.mihoyo.com/bh3/wiki/content/39/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/01/13/4976467/292aff695c491bc5c54053408229ff53_6550230411896554394.png	img/honkai/K015.png
K016	姬麟(上)	圣痕	500	https://baike.mihoyo.com/bh3/wiki/content/500/detail?bbs_presentation_style=no_header	https://uploadstatic.mihoyo.com/bh3-wiki/2021/10/13/73514954/dd5409f9bd826bec5e85e7cae0d4fe08_5328816895544171724.png	img/honkai/K016.png
K017	姬麟(中)	圣痕	502	https://baike.mihoyo.com/bh3/wiki/content/502/detail?bbs_presentation_style=no_header	https://uploadstatic.mihoyo.com/bh3-wiki/2021/10/13/73514954/cdee8182a2fe51c84e188d7052d13b33_9204849000153895909.png	img/honkai/K017.png
K018	姬麟(下)	圣痕	503	https://baike.mihoyo.com/bh3/wiki/content/503/detail?bbs_presentation_style=no_header	https://uploadstatic.mihoyo.com/bh3-wiki/2021/10/13/73514954/b07d301aa6c7962aed95ba1a793b0bad_3103437020700935264.png	img/honkai/K018.png
K019	莎士比亚(上)	圣痕	479	https://baike.mihoyo.com/bh3/wiki/content/479/detail?bbs_presentation_style=no_header	https://uploadstatic.mihoyo.com/bh3-wiki/2021/09/18/73514954/d84b8f3e0b65519c6771de8c57065c5f_658779153962639953.png	img/honkai/K019.png
K020	莎士比亚(中)	圣痕	480	https://baike.mihoyo.com/bh3/wiki/content/480/detail?bbs_presentation_style=no_header	https://uploadstatic.mihoyo.com/bh3-wiki/2021/09/18/73514954/60949397608de6a67d973414c0ab417f_512933784154855149.png	img/honkai/K020.png
K021	莎士比亚(下)	圣痕	481	https://baike.mihoyo.com/bh3/wiki/content/481/detail?bbs_presentation_style=no_header	https://uploadstatic.mihoyo.com/bh3-wiki/2021/09/18/73514954/447c20b8958aad8202b8a3217628a4ab_6129897450909085918.png	img/honkai/K021.png
K022	水镜(上)	圣痕	587	https://baike.mihoyo.com/bh3/wiki/content/587/detail?bbs_presentation_style=no_header	https://uploadstatic.mihoyo.com/bh3-wiki/2021/10/27/5683276/078e53e7a557ce6cd8ca074e59724ce0_5198793186591170947.png	img/honkai/K022.png
K023	水镜(中)	圣痕	588	https://baike.mihoyo.com/bh3/wiki/content/588/detail?bbs_presentation_style=no_header	https://uploadstatic.mihoyo.com/bh3-wiki/2021/10/16/73514954/b7d1353929a8a21a9e75174b8acb57d9_8740079451733225042.png	img/honkai/K023.png
K024	水镜(下)	圣痕	592	https://baike.mihoyo.com/bh3/wiki/content/592/detail?bbs_presentation_style=no_header	https://uploadstatic.mihoyo.com/bh3-wiki/2021/10/16/73514954/d27f270b461524535006fb9a7847a556_5537619636548721975.png	img/honkai/K024.png
K025	贝多芬(上)	圣痕	356	https://baike.mihoyo.com/bh3/wiki/content/356/detail?bbs_presentation_style=no_header	https://uploadstatic.mihoyo.com/bh3-wiki/2021/09/17/91006211/116937b4a58bf151f9c230fd3008b08a_6721286769881032150.png	img/honkai/K025.png
K026	贝多芬(中)	圣痕	357	https://baike.mihoyo.com/bh3/wiki/content/357/detail?bbs_presentation_style=no_header	https://uploadstatic.mihoyo.com/bh3-wiki/2021/09/17/91006211/52aa284287a7501e317f47736dd98731_5516986825915144922.png	img/honkai/K026.png
K027	贝多芬(下)	圣痕	358	https://baike.mihoyo.com/bh3/wiki/content/358/detail?bbs_presentation_style=no_header	https://uploadstatic.mihoyo.com/bh3-wiki/2021/09/17/91006211/59c36b9578b2612a04dce77b601d878a_1442553579639970208.png	img/honkai/K027.png
K028	叶采章(上)	圣痕	386	https://baike.mihoyo.com/bh3/wiki/content/386/detail?bbs_presentation_style=no_header	https://uploadstatic.mihoyo.com/bh3-wiki/2021/09/30/72350798/a12f49e35dd462e73a9b2297346a9625_2557048892619792132.png	img/honkai/K028.png
K029	叶采章(中)	圣痕	387	https://baike.mihoyo.com/bh3/wiki/content/387/detail?bbs_presentation_style=no_header	https://uploadstatic.mihoyo.com/bh3-wiki/2021/09/18/72350798/b38967386e25e1e7bc25849b73c36cc8_7101378264855487164.png	img/honkai/K029.png
K030	叶采章(下)	圣痕	388	https://baike.mihoyo.com/bh3/wiki/content/388/detail?bbs_presentation_style=no_header	https://uploadstatic.mihoyo.com/bh3-wiki/2021/09/18/72350798/f96925f498eba968b9185046ca3cfed1_2876192738282548747.png	img/honkai/K030.png
K031	赤鸢之翼	人偶	762	https://baike.mihoyo.com/bh3/wiki/content/762/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/02/01/75216984/282a24c2cb9cc24f50e0ed8e8d4501ee_4242406944609733391.png	img/honkai/K031.png
K032	特斯拉Zero	人偶	766	https://baike.mihoyo.com/bh3/wiki/content/766/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/02/01/75216984/744ae79c37e28c413d42d0b2f0d467ac_6345452204548510826.png	img/honkai/K032.png
K033	贝拉	人偶	767	https://baike.mihoyo.com/bh3/wiki/content/767/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/02/01/75216984/29f4168ffb48443c8176d5528477da7c_4214909088839239359.png	img/honkai/K033.png
K034	重装小兔	人偶	2587	https://baike.mihoyo.com/bh3/wiki/content/2587/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/02/01/75216984/90b50917dc45229b3e9e3789890fb0d3_5331567214669594415.png	img/honkai/K034.png
K035	妖精爱莉	人偶	1796	https://baike.mihoyo.com/bh3/wiki/content/1796/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/02/01/75216984/e23f8f97790cdd09fa28e83f9b8f268b_5812159590584780722.png	img/honkai/K035.png
K036	克莱茵	人偶	1005	https://baike.mihoyo.com/bh3/wiki/content/1005/detail?bbs_presentation_style=no_header	https://act-upload.mihoyo.com/bh3-wiki/2024/02/01/75216984/f5f7067da06924c0f5594e69e59b2579_1129747601099974601.png	img/honkai/K036.png
